name,born,position,debut,stats
Geoffrey Gowlland,"
May 27, 1885, Ealing
   ", Forward,"Wales v Scotland at Swansea, Feb 1, 1908 ","{'Mat': '7', 'Start': '7', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '3', 'Lost': '4', 'Draw': '0'}"
Hugh Martin,"
April 9, 1888, Edinburgh
   ", Wing,"Wales v Scotland at Swansea, Feb 1, 1908 ","{'Mat': '5', 'Start': '5', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '3', 'Draw': '0'}"
John Wilson,"
March 10, 1884, Trinidad
   ", Forward,"Ireland v Scotland at Lansdowne Road, Feb 29, 1908 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '2', 'Draw': '0'}"
Colin Gilray,"
March 17, 1885, Broughty Ferry
   ", Wing,"New Zealand v Australia at Dunedin, Sep 2, 1905 ","{'Mat': '5', 'Start': '5', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '3', 'Lost': '2', 'Draw': '0'}"
James Robertson,"
May 5, 1883, ?
   ", Fly-half,"Scotland v England at Inverleith, Mar 21, 1908 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
Lewis Robertson,"
August 4, 1883, Hawthornden
   ", Forward,"Scotland v England at Inverleith, Mar 21, 1908 ","{'Mat': '9', 'Start': '9', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '3', 'Lost': '6', 'Draw': '0'}"
Albert Wade,"
September 20, 1884, Glasgow
   ", Scrum-half,"Scotland v England at Inverleith, Mar 21, 1908 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
Gus Angus,"
November 11, 1889, Sydney, NSW
   ", Centre,"Scotland v Wales at Inverleith, Feb 6, 1909 ","{'Mat': '18', 'Start': '18', 'Sub': '0', 'Pts': '9', 'Tries': '3', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '7', 'Lost': '11', 'Draw': '0'}"
Jim Tennent,"
September 7, 1888, Glasgow
   ", Halfback,"Scotland v Wales at Inverleith, Feb 6, 1909 ","{'Mat': '6', 'Start': '6', 'Sub': '0', 'Pts': '15', 'Tries': '5', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '3', 'Lost': '3', 'Draw': '0'}"
William Lely,"
July 15, 1886, Edmonton, London
   ", Prop,"Scotland v Ireland at Inverleith, Feb 27, 1909 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
