name,born,position,debut,stats
Jean-Francois Marchal,"
December 16, 1949, Paris
   ", Lock,"France v Scotland at Parc des Princes, Mar 17, 1979 ","{'Mat': '5', 'Start': '5', 'Sub': '0', 'Pts': '4', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '3', 'Lost': '2', 'Draw': '0', '%': '60.00'}"
Christian Beguerie,"
July 26, 1955, Layrac
   ", Back-row,"New Zealand v France at Christchurch, Jul 7, 1979 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '0', 'Lost': '1', 'Draw': '0', '%': '0.00'}"
Didier Codorniou,"
February 13, 1958, Narbonne
   ", Centre,"New Zealand v France at Christchurch, Jul 7, 1979 ","{'Mat': '31', 'Start': '31', 'Sub': '0', 'Pts': '20', 'Tries': '5', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '18', 'Lost': '10', 'Draw': '3', '%': '62.90'}"
Guy Colomine,"
July 11, 1955, Narbonne
   ", Prop,"New Zealand v France at Christchurch, Jul 7, 1979 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '0', 'Lost': '1', 'Draw': '0', '%': '0.00'}"
Philippe Dintrans,"
January 29, 1957, Tarbes
   ", Hooker,"New Zealand v France at Christchurch, Jul 7, 1979 ","{'Mat': '50', 'Start': '50', 'Sub': '0', 'Pts': '12', 'Tries': '3', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '27', 'Lost': '20', 'Draw': '3', '%': '57.00'}"
Patrick Mesny,"
August 19, 1954, Montlucon
   ", Centre,"New Zealand v France at Christchurch, Jul 7, 1979 ","{'Mat': '14', 'Start': '13', 'Sub': '1', 'Pts': '12', 'Tries': '3', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '7', 'Lost': '7', 'Draw': '0', '%': '50.00'}"
Patrick Salas,"
March 3, 1954, Narbonne
   "," Prop, Lock, No. 8","New Zealand v France at Christchurch, Jul 7, 1979 ","{'Mat': '7', 'Start': '7', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '3', 'Lost': '4', 'Draw': '0', '%': '42.85'}"
Daniel Dubroca,"
April 25, 1954, Aiguillon
   "," Prop, Hooker","New Zealand v France at Auckland, Jul 14, 1979 ","{'Mat': '33', 'Start': '32', 'Sub': '1', 'Pts': '8', 'Tries': '2', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '22', 'Lost': '10', 'Draw': '1', '%': '68.18'}"
Jacques Cristina,"
July 7, 1948, Clermont-Ferrand
   ", No. 8,"France v Romania at Montauban, Dec 2, 1979 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '1', 'Lost': '0', 'Draw': '0', '%': '100.00'}"
Manuel Carpentier,"
October 15, 1959, Calais
   "," Lock, No. 8","France v England at Parc des Princes, Feb 2, 1980 ","{'Mat': '8', 'Start': '8', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '2', 'Lost': '6', 'Draw': '0', '%': '25.00'}"
Yves Duhard,"
July 11, 1955, Bagneres-de-Bigorre
   ", Lock,"France v England at Parc des Princes, Feb 2, 1980 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '0', 'Lost': '1', 'Draw': '0', '%': '0.00'}"
Serge Gabernet,"
February 6, 1955, Montrejeau
   ", Fullback,"France v England at Parc des Princes, Feb 2, 1980 ","{'Mat': '14', 'Start': '14', 'Sub': '0', 'Pts': '48', 'Tries': '2', 'Conv': '2', 'Pens': '11', 'Drop': '1', 'Won': '8', 'Lost': '6', 'Draw': '0', '%': '57.14'}"
Pierre Pedeutour,"
March 30, 1955, Menzel-Bou-Zulfa
   ", Fly-half,"France v Ireland at Parc des Princes, Mar 1, 1980 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '3', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '1', 'Won': '1', 'Lost': '0', 'Draw': '0', '%': '100.00'}"
Serge Blanco,"
August 31, 1958, Caracas
   "," Fullback, Wing","South Africa v France at Pretoria, Nov 8, 1980 ","{'Mat': '93', 'Start': '93', 'Sub': '0', 'Pts': '233', 'Tries': '38', 'Conv': '6', 'Pens': '21', 'Drop': '2', 'Won': '54', 'Lost': '36', 'Draw': '3', '%': '59.67'}"
Jean-Pierre Elissalde,"
December 31, 1953, La Rochelle
   ", Scrum-half,"South Africa v France at Pretoria, Nov 8, 1980 ","{'Mat': '5', 'Start': '5', 'Sub': '0', 'Pts': '11', 'Tries': '2', 'Conv': '0', 'Pens': '0', 'Drop': '1', 'Won': '1', 'Lost': '4', 'Draw': '0', '%': '20.00'}"
Pierre Lacans,"
April 23, 1957, Lezignan
   ", Flanker,"South Africa v France at Pretoria, Nov 8, 1980 ","{'Mat': '6', 'Start': '6', 'Sub': '0', 'Pts': '8', 'Tries': '2', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '3', 'Lost': '3', 'Draw': '0', '%': '50.00'}"
Laurent Pardo,"
February 19, 1958, Bayonne
   "," Fullback, Wing, Centre","South Africa v France at Pretoria, Nov 8, 1980 ","{'Mat': '14', 'Start': '13', 'Sub': '1', 'Pts': '12', 'Tries': '3', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '6', 'Lost': '6', 'Draw': '2', '%': '50.00'}"
Jean-Paul Wolf,"
November 7, 1960, Montreuil-sous-Bois
   "," Prop, Lock","South Africa v France at Pretoria, Nov 8, 1980 ","{'Mat': '4', 'Start': '4', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '0', 'Lost': '4', 'Draw': '0', '%': '0.00'}"
Eric Buchet,"
November 28, 1957, Nice
   ", Flanker,"Romania v France at Bucharest, Nov 23, 1980 ","{'Mat': '5', 'Start': '4', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '2', 'Lost': '3', 'Draw': '0', '%': '40.00'}"
Michel Cremaschi,"
April 26, 1956, Betbezer
   ", Prop,"Romania v France at Bucharest, Nov 23, 1980 ","{'Mat': '11', 'Start': '11', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '5', 'Lost': '5', 'Draw': '1', '%': '50.00'}"
Jean-Pierre Fauvel,"
February 9, 1956, Castillonnes
   ", Flanker,"Romania v France at Bucharest, Nov 23, 1980 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '0', 'Lost': '1', 'Draw': '0', '%': '0.00'}"
Pierre Berbizier,"
June 17, 1958, Saint-Gaudens
   ", Scrum-half,"France v Scotland at Parc des Princes, Jan 17, 1981 ","{'Mat': '56', 'Start': '55', 'Sub': '1', 'Pts': '28', 'Tries': '7', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '32', 'Lost': '23', 'Draw': '1', '%': '58.03'}"
Daniel Revailler,"
August 20, 1948, Rabastens
   ", Lock,"France v Scotland at Parc des Princes, Jan 17, 1981 ","{'Mat': '14', 'Start': '14', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '7', 'Lost': '7', 'Draw': '0', '%': '50.00'}"
Guy Laporte,"
December 15, 1952, Beaufort
   ", Fly-half,"Ireland v France at Lansdowne Road, Feb 7, 1981 ","{'Mat': '16', 'Start': '14', 'Sub': '2', 'Pts': '143', 'Tries': '3', 'Conv': '19', 'Pens': '23', 'Drop': '8', 'Won': '11', 'Lost': '5', 'Draw': '0', '%': '68.75'}"
Dominique Erbani,"
August 16, 1956, Eymet
   ", Back-row,"Australia v France at Brisbane, Jul 5, 1981 ","{'Mat': '46', 'Start': '42', 'Sub': '4', 'Pts': '12', 'Tries': '3', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '30', 'Lost': '13', 'Draw': '3', '%': '68.47'}"
Michel Fabre,"
September 11, 1956, Pezenas
   ", Wing,"Australia v France at Brisbane, Jul 5, 1981 ","{'Mat': '6', 'Start': '6', 'Sub': '0', 'Pts': '4', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '2', 'Lost': '4', 'Draw': '0', '%': '33.33'}"
